Customer ID,RecencyDays,TransactionCount,PurchaseDays,TotalSpend,AverageOrderValue,TotalQuantity,UniqueProducts,ActiveMonths,Country,AvgItemsPerTransaction,PurchaseDaysPerMonth,return_30d,PredictionDate
12346,9,9,5,203.5,22.61111111111111,46,2,2,United Kingdom,5.111111111111111,2.5,1,2010-02-01
12358,54,1,1,1429.83,84.10764705882353,309,17,1,Austria,309.0,1.0,0,2010-02-01
12359,46,2,2,838.89,24.673235294117646,609,34,1,Cyprus,304.5,2.0,0,2010-02-01
12361,5,1,1,109.2,15.6,45,7,1,Belgium,45.0,1.0,0,2010-02-01
12362,61,1,1,130.0,130.0,1,1,1,Belgium,1.0,1.0,0,2010-02-01
12404,5,1,1,63.24,63.24,1,1,1,Finland,1.0,1.0,0,2010-02-01
12406,20,1,1,881.2,35.248000000000005,452,25,1,Denmark,452.0,1.0,0,2010-02-01
12417,23,3,3,722.15,15.69891304347826,342,45,2,Belgium,114.0,1.5,0,2010-02-01
12422,44,1,1,75.0,15.0,60,5,1,Australia,60.0,1.0,1,2010-02-01
12431,16,2,1,1120.27,19.315,482,57,1,Belgium,241.0,1.0,0,2010-02-01
12435,60,1,1,1008.0,1008.0,480,1,1,Denmark,480.0,1.0,0,2010-02-01
12437,12,3,2,1188.06,20.136610169491526,601,49,2,France,200.33333333333334,1.0,1,2010-02-01
12439,5,2,2,1142.88,16.096901408450705,478,69,2,Cyprus,239.0,1.0,0,2010-02-01
12440,40,1,1,568.51,27.07190476190476,255,21,1,Austria,255.0,1.0,0,2010-02-01
12443,55,1,1,485.31,23.11,182,21,1,Norway,182.0,1.0,0,2010-02-01
12455,44,1,1,1636.43,18.38685393258427,517,89,1,Cyprus,517.0,1.0,0,2010-02-01
12466,5,1,1,56.73,56.73,1,1,1,France,1.0,1.0,0,2010-02-01
12468,5,1,1,441.23,16.970384615384617,314,26,1,Germany,314.0,1.0,0,2010-02-01
12470,12,1,1,211.95,9.215217391304348,95,23,1,Unspecified,95.0,1.0,0,2010-02-01
12471,5,12,6,4302.66,25.16175438596491,1859,64,2,Germany,154.91666666666666,3.0,1,2010-02-01
12472,48,1,1,1286.43,19.79123076923077,903,65,1,Germany,903.0,1.0,1,2010-02-01
12483,0,1,1,301.70000000000005,43.10000000000001,101,7,1,Sweden,101.0,1.0,1,2010-02-01
12484,2,2,2,660.15,10.478571428571428,446,56,1,Spain,223.0,2.0,1,2010-02-01
12487,53,1,1,285.3,142.65,174,2,1,Sweden,174.0,1.0,0,2010-02-01
12490,0,2,2,924.2,20.09130434782609,746,44,2,France,373.0,1.0,1,2010-02-01
12510,9,4,3,2967.33,60.557755102040815,940,43,2,Spain,235.0,1.5,1,2010-02-01
12523,55,1,1,74.56,18.64,62,4,1,France,62.0,1.0,1,2010-02-01
12531,9,1,1,1807.98,16.43618181818182,1074,110,1,Germany,1074.0,1.0,0,2010-02-01
